retriever,fault_type,metric_name,sample_count,healthy_mean,fault_mean,mean_delta,ci_95_lower,ci_95_upper,standardized_effect,rank_biserial_effect,expected_direction,direction_match,skipped_count,error_count
bm25,chunk_merge,chunking.chunk_integrity,20,1.0,1.0,0.0,0.0,0.0,,0.0,decrease,False,0,0
bm25,chunk_truncation,chunking.chunk_integrity,20,1.0,0.8,-0.19999999999999996,-0.19999999999999996,-0.19999999999999996,,-1.0,decrease,True,0,0
bm25,contradictory_answer,generation.faithfulness,20,0.94,0.0,-0.94,-1.0,-0.83,-4.2727272727272725,-1.0,decrease,True,0,0
bm25,corrupted_query,generation.answer_relevance,20,0.5366300366300366,0.33786019536019535,-0.19876984126984126,-0.3275049603174603,-0.09403174603174612,-0.7384425407275932,-1.0,decrease,True,0,0
bm25,distractor_context,context.noise_ratio,20,0.56,0.6333333333333333,0.07333333333333332,0.06499999999999999,0.08166666666666665,3.6666666666666674,1.0,increase,True,0,0
bm25,distractor_context,generation.faithfulness,20,0.8821969696969697,0.8821969696969697,0.0,0.0,0.0,,0.0,decrease,False,0,0
bm25,irrelevant_document,context.noise_ratio,20,0.55,0.64,0.08999999999999998,0.04999999999999999,0.12999999999999998,0.9045340337332908,1.0,increase,True,0,0
bm25,irrelevant_document,retrieval.hit_at_k,20,1.0,0.9,-0.1,-0.25,0.0,-0.33333333333333337,-1.0,decrease,True,0,0
bm25,irrelevant_document,retrieval.mrr,20,0.9041666666666667,0.8125,-0.09166666666666666,-0.21666666666666667,0.0,-0.37531515666421716,-1.0,decrease,True,0,0
bm25,irrelevant_document,retrieval.precision_at_k,20,0.45,0.36,-0.08999999999999998,-0.12999999999999998,-0.04999999999999999,-0.9045340337332908,-1.0,decrease,True,0,0
bm25,irrelevant_document,retrieval.recall_at_k,20,1.0,0.775,-0.225,-0.3666666666666667,-0.1,-0.7291972745477574,-1.0,decrease,True,0,0
bm25,missing_evidence,context.evidence_coverage,20,1.0,0.0,-1.0,-1.0,-1.0,,-1.0,decrease,True,0,0
bm25,missing_evidence,context.noise_ratio,0,,,,,,,0.0,increase,,20,0
bm25,missing_evidence,retrieval.hit_at_k,20,1.0,0.0,-1.0,-1.0,-1.0,,-1.0,decrease,True,0,0
bm25,missing_evidence,retrieval.mrr,20,0.925,0.0,-0.925,-1.0,-0.825,-5.181036310903637,-1.0,decrease,True,0,0
bm25,missing_evidence,retrieval.precision_at_k,0,,,,,,,0.0,decrease,,0,20
bm25,missing_evidence,retrieval.recall_at_k,20,1.0,0.0,-1.0,-1.0,-1.0,,-1.0,decrease,True,0,0
bm25,out_of_scope,generation.answer_relevance,20,0.5799465811965812,0.0,-0.5799465811965812,-0.7024811507936508,-0.4400580357142858,-1.9881321823408993,-1.0,decrease,True,0,0
bm25,unsupported_answer,generation.faithfulness,20,0.944047619047619,0.0,-0.944047619047619,-1.0,-0.875,-6.847666582009742,-1.0,decrease,True,0,0
