retriever,fault_type,metric_name,sample_count,healthy_mean,fault_mean,mean_delta,median_delta,std_delta,improved_count,degraded_count,unchanged_count,expected_direction,direction_match,ci_95_lower,ci_95_upper,standardized_effect,rank_biserial_effect,quality_mean_delta,skipped_count,error_count
bm25,chunk_merge,chunking.chunk_integrity,20,1.0,1.0,0.0,0.0,0.0,0,0,20,decrease,False,0.0,0.0,,0.0,0.0,0,0
bm25,chunk_merge,chunking.gold_evidence_preservation,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,chunk_merge,context.context_truncation,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,chunk_merge,context.evidence_coverage,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,chunk_merge,context.noise_ratio,20,0.6,0.6,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,chunk_merge,generation.answer_relevance,20,0.22903309409888356,0.22903309409888356,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,chunk_merge,generation.faithfulness,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,chunk_merge,retrieval.hit_at_k,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,chunk_merge,retrieval.mrr,20,0.9166666666666666,0.8333333333333334,-0.08333333333333334,0.0,0.2157029850924131,0,3,17,unspecified,,-0.1875,0.0,-0.38633370464312794,-1.0,-0.08333333333333334,0,0
bm25,chunk_merge,retrieval.precision_at_k,20,0.4,0.375,-0.025000000000000022,-0.025000000000000022,0.125,10,10,0,unspecified,,-0.08750000000000002,0.024999999999999977,-0.20000000000000018,-0.47619047619047616,-0.025000000000000022,0,0
bm25,chunk_merge,retrieval.recall_at_k,20,1.0,0.75,-0.25,-0.25,0.25,0,10,10,unspecified,,-0.375,-0.15,-1.0,-1.0,-0.25,0,0
bm25,chunk_truncation,chunking.chunk_integrity,20,1.0,0.8,-0.19999999999999996,-0.19999999999999996,0.0,0,20,0,decrease,True,-0.19999999999999996,-0.19999999999999996,,-1.0,-0.19999999999999996,0,0
bm25,chunk_truncation,chunking.gold_evidence_preservation,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,chunk_truncation,context.context_truncation,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,chunk_truncation,context.evidence_coverage,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,chunk_truncation,context.noise_ratio,20,0.6,0.6,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,chunk_truncation,generation.answer_relevance,20,0.3046109446109446,0.3046109446109446,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,chunk_truncation,generation.faithfulness,20,0.9583333333333334,0.9583333333333334,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,chunk_truncation,retrieval.hit_at_k,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,chunk_truncation,retrieval.mrr,20,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,chunk_truncation,retrieval.precision_at_k,20,0.4,0.4,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,chunk_truncation,retrieval.recall_at_k,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,contradictory_answer,chunking.chunk_integrity,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,contradictory_answer,chunking.gold_evidence_preservation,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,contradictory_answer,context.context_truncation,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,contradictory_answer,context.evidence_coverage,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,contradictory_answer,context.noise_ratio,20,0.6,0.6,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,contradictory_answer,generation.answer_relevance,20,0.43643939393939396,0.014250700280112044,-0.4221886936592819,-0.3833333333333333,0.4009343317431803,3,13,4,unspecified,,-0.5975702747007894,-0.25209628055767774,-1.053012077623016,-0.9117647058823529,-0.4221886936592819,0,0
bm25,contradictory_answer,generation.faithfulness,20,0.98,0.05,-0.93,-1.0,0.23043437243605824,0,19,1,decrease,True,-1.0,-0.81,-4.03585624040554,-1.0,-0.93,0,0
bm25,contradictory_answer,retrieval.hit_at_k,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,contradictory_answer,retrieval.mrr,20,0.975,0.975,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,contradictory_answer,retrieval.precision_at_k,20,0.4,0.4,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,contradictory_answer,retrieval.recall_at_k,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,corrupted_query,chunking.chunk_integrity,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,corrupted_query,chunking.gold_evidence_preservation,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,corrupted_query,context.context_truncation,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,corrupted_query,context.evidence_coverage,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,corrupted_query,context.noise_ratio,20,0.6,0.6,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,corrupted_query,generation.answer_relevance,20,0.29394501740089973,0.2881845768610475,-0.005760440539852306,0.0,0.05716111091578031,2,5,13,decrease,True,-0.03067821067821068,0.018773422247686924,-0.10077551761265782,-0.21428571428571427,-0.005760440539852306,0,0
bm25,corrupted_query,generation.faithfulness,20,0.975,0.975,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,corrupted_query,retrieval.hit_at_k,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,corrupted_query,retrieval.mrr,20,0.95,0.95,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,corrupted_query,retrieval.precision_at_k,20,0.4,0.4,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,corrupted_query,retrieval.recall_at_k,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,distractor_context,chunking.chunk_integrity,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,distractor_context,chunking.gold_evidence_preservation,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,distractor_context,context.context_truncation,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,distractor_context,context.evidence_coverage,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,distractor_context,context.noise_ratio,20,0.595,0.6633333333333333,0.06833333333333332,0.06666666666666665,0.007264831572567788,0,20,0,increase,True,0.06666666666666665,0.07166666666666666,9.406045088693032,1.0,-0.06833333333333332,0,0
bm25,distractor_context,generation.answer_relevance,19,0.3603773880782191,0.3603773880782191,0.0,0.0,0.0,0,0,19,unspecified,,0.0,0.0,,0.0,0.0,1,0
bm25,distractor_context,generation.faithfulness,19,0.9228070175438596,0.9228070175438596,0.0,0.0,0.0,0,0,19,decrease,False,0.0,0.0,,0.0,0.0,1,0
bm25,distractor_context,retrieval.hit_at_k,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,distractor_context,retrieval.mrr,20,0.95,0.95,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,distractor_context,retrieval.precision_at_k,20,0.4,0.4,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,distractor_context,retrieval.recall_at_k,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,irrelevant_document,chunking.chunk_integrity,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,irrelevant_document,chunking.gold_evidence_preservation,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,irrelevant_document,context.context_truncation,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,irrelevant_document,context.evidence_coverage,20,1.0,0.825,-0.175,0.0,0.23848480035423641,0,7,13,unspecified,,-0.275,-0.075,-0.7337993857053428,-1.0,-0.175,0,0
bm25,irrelevant_document,context.noise_ratio,20,0.6,0.67,0.07000000000000002,0.0,0.0953939201416946,0,7,13,increase,True,0.03000000000000001,0.11000000000000004,0.7337993857053428,1.0,-0.07000000000000002,0,0
bm25,irrelevant_document,generation.answer_relevance,19,0.10998650472334683,0.10998650472334683,0.0,0.0,0.0,0,0,19,unspecified,,0.0,0.0,,0.0,0.0,1,0
bm25,irrelevant_document,generation.faithfulness,19,1.0,0.9824561403508771,-0.01754385964912281,0.0,0.0744322927564787,0,1,18,unspecified,,-0.052631578947368425,0.0,-0.23570226039551584,-1.0,-0.01754385964912281,1,0
bm25,irrelevant_document,retrieval.hit_at_k,20,1.0,1.0,0.0,0.0,0.0,0,0,20,decrease,False,0.0,0.0,,0.0,0.0,0,0
bm25,irrelevant_document,retrieval.mrr,20,0.9041666666666667,0.7766666666666666,-0.1275,0.0,0.23209642392764263,0,5,15,decrease,True,-0.2375,-0.025,-0.54934064834945,-1.0,-0.1275,0,0
bm25,irrelevant_document,retrieval.precision_at_k,20,0.4,0.33,-0.07,0.0,0.09539392014169457,0,7,13,decrease,True,-0.11,-0.030000000000000002,-0.7337993857053429,-1.0,-0.07,0,0
bm25,irrelevant_document,retrieval.recall_at_k,20,1.0,0.825,-0.175,0.0,0.23848480035423641,0,7,13,decrease,True,-0.275,-0.075,-0.7337993857053428,-1.0,-0.175,0,0
bm25,missing_evidence,chunking.chunk_integrity,19,1.0,1.0,0.0,0.0,0.0,0,0,19,unspecified,,0.0,0.0,,0.0,0.0,1,0
bm25,missing_evidence,chunking.gold_evidence_preservation,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,missing_evidence,context.context_truncation,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,missing_evidence,context.evidence_coverage,20,1.0,0.0,-1.0,-1.0,0.0,0,20,0,decrease,True,-1.0,-1.0,,-1.0,-1.0,0,0
bm25,missing_evidence,context.noise_ratio,19,0.6,1.0,0.4,0.4,0.0,0,19,0,increase,True,0.4,0.4,,1.0,-0.4,1,0
bm25,missing_evidence,generation.answer_relevance,20,0.40674908424908424,0.40674908424908424,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,missing_evidence,generation.faithfulness,19,0.9614035087719298,0.2807017543859649,-0.6807017543859649,-1.0,0.39371016582669627,0,15,4,unspecified,,-0.856140350877193,-0.5017105263157897,-1.7289412706848848,-1.0,-0.6807017543859649,1,0
bm25,missing_evidence,retrieval.hit_at_k,20,1.0,0.0,-1.0,-1.0,0.0,0,20,0,decrease,True,-1.0,-1.0,,-1.0,-1.0,0,0
bm25,missing_evidence,retrieval.mrr,20,0.8625,0.0,-0.8625,-1.0,0.2433490291741473,0,20,0,decrease,True,-0.95,-0.75,-3.544291928868848,-1.0,-0.8625,0,0
bm25,missing_evidence,retrieval.precision_at_k,19,0.4,0.0,-0.4,-0.4,0.0,0,19,0,decrease,True,-0.4,-0.4,,-1.0,-0.4,0,1
bm25,missing_evidence,retrieval.recall_at_k,20,1.0,0.0,-1.0,-1.0,0.0,0,20,0,decrease,True,-1.0,-1.0,,-1.0,-1.0,0,0
bm25,out_of_scope,chunking.chunk_integrity,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,out_of_scope,chunking.gold_evidence_preservation,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,out_of_scope,context.context_truncation,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,out_of_scope,context.evidence_coverage,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,out_of_scope,context.noise_ratio,20,0.6,0.6,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,out_of_scope,generation.answer_relevance,20,0.2662232620320856,0.0,-0.2662232620320856,-0.08333333333333334,0.3608458010990341,0,11,9,decrease,True,-0.4282438168449198,-0.11602573529411767,-0.7377756959378353,-1.0,-0.2662232620320856,0,0
bm25,out_of_scope,generation.faithfulness,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,out_of_scope,retrieval.hit_at_k,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,out_of_scope,retrieval.mrr,20,0.9625,0.9625,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,out_of_scope,retrieval.precision_at_k,20,0.4,0.4,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,out_of_scope,retrieval.recall_at_k,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,unsupported_answer,chunking.chunk_integrity,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,unsupported_answer,chunking.gold_evidence_preservation,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,unsupported_answer,context.context_truncation,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,unsupported_answer,context.evidence_coverage,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,unsupported_answer,context.noise_ratio,20,0.6,0.6,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,unsupported_answer,generation.answer_relevance,20,0.25648809523809524,0.00849673202614379,-0.24799136321195145,0.0,0.3501954284818222,2,9,9,unspecified,,-0.40705920815295815,-0.10743083672863092,-0.7081513436284737,-0.9090909090909091,-0.24799136321195145,0,0
bm25,unsupported_answer,generation.faithfulness,20,0.8941666666666667,0.0,-0.8941666666666667,-1.0,0.25718967276657473,0,19,1,decrease,True,-0.99,-0.7666666666666667,-3.476681847479203,-1.0,-0.8941666666666667,0,0
bm25,unsupported_answer,retrieval.hit_at_k,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,unsupported_answer,retrieval.mrr,20,0.95,0.95,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,unsupported_answer,retrieval.precision_at_k,20,0.4,0.4,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,unsupported_answer,retrieval.recall_at_k,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
dense,chunk_merge,chunking.chunk_integrity,20,1.0,1.0,0.0,0.0,0.0,0,0,20,decrease,False,0.0,0.0,,0.0,0.0,0,0
dense,chunk_merge,chunking.gold_evidence_preservation,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
dense,chunk_merge,context.context_truncation,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
dense,chunk_merge,context.evidence_coverage,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
dense,chunk_merge,context.noise_ratio,20,0.6,0.6,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
dense,chunk_merge,generation.answer_relevance,20,0.32127414252414255,0.32127414252414255,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
dense,chunk_merge,generation.faithfulness,20,0.965,0.965,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
dense,chunk_merge,retrieval.hit_at_k,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
dense,chunk_merge,retrieval.mrr,20,0.925,0.8208333333333333,-0.10416666666666667,0.0,0.2484325864293974,0,3,17,unspecified,,-0.23343750000000002,0.0,-0.41929550452218967,-1.0,-0.10416666666666667,0,0
dense,chunk_merge,retrieval.precision_at_k,20,0.4,0.4125,0.012499999999999978,0.09999999999999998,0.11924240017711821,13,7,0,unspecified,,-0.03750000000000002,0.06249999999999998,0.10482848367219165,-0.13333333333333333,0.012499999999999978,0,0
dense,chunk_merge,retrieval.recall_at_k,20,1.0,0.825,-0.175,0.0,0.23848480035423641,0,7,13,unspecified,,-0.275,-0.075,-0.7337993857053428,-1.0,-0.175,0,0
dense,chunk_truncation,chunking.chunk_integrity,20,1.0,0.8,-0.19999999999999996,-0.19999999999999996,0.0,0,20,0,decrease,True,-0.19999999999999996,-0.19999999999999996,,-1.0,-0.19999999999999996,0,0
dense,chunk_truncation,chunking.gold_evidence_preservation,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
